,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rade,pl_rads,pl_trandur,pl_tranmid,pl_ratror,pl_mnum,pl_st_npar,pl_st_nref,st_rah,st_glon,st_glat,st_elon,st_elat,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_logg,st_metfe,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_jmh2,st_hmk2,st_jmk2
2029,0,1,24.4973698,,0.237,0,1,0,295.78551400000003,39.907921,1560.0,15.152000000000001,15.097999999999999,6136.0,1.14,1.22,1,0,0,0.0,0,0,,2.66,0.024,0.21170999999999998,2454966.92307,0.02048,0,28,11,19.71903427,73.901607,8.037884,311.398508,59.695918999999996,0.66,1525.93,1.6,-2.8,3.2,1.6,-2.8,3.2,4.32,0.01,14.1,13.783,13.77,13.618,13.687999999999999,13.022,8.957,0.317,0.013000000000000001,0.33
2030,0,1,184.771853,,0.22,1,1,0,291.676831,38.874915,618.0,14.838,14.931,5202.0,0.85,0.78,1,0,0,0.0,0,0,,2.47,0.023,0.40442,2455050.36155,0.029289999999999997,0,24,9,19.44512206,71.479674,10.368611,304.776466,59.724265,1.27,786.31,8.7,7.2,11.3,7.0,1.9,7.2,4.58,-0.07,13.504000000000001,13.005,12.880999999999998,,,,,0.499,0.124,0.623
2031,0,1,4.24261881,,0.10300000000000001,0,1,0,291.919159,39.022273,719.0,14.955,14.991,5288.0,0.85,0.81,1,0,0,0.0,0,0,,1.15,0.011000000000000001,0.11075,2454968.0310400003,0.01305,0,24,10,19.46127729,71.699494,10.266331,305.220142,59.809853000000004,1.42,706.48,-6.9,-16.0,17.4,-7.3,-19.0,20.4,4.56,-0.09,13.677,13.17,13.167,13.133,13.190999999999999,12.745999999999999,9.062000000000001,0.507,0.003,0.51
2032,0,1,198.088774,,0.259,0,1,0,286.576164,41.741473,982.0,15.717,15.715,5297.0,0.84,0.81,1,0,0,0.0,0,0,,2.9,0.027000000000000003,0.33838,2455152.73061,0.03281,0,28,11,19.1050776,72.46817800000001,15.101822,298.546197,63.547225,1.03,972.65,-20.0,22.0,29.7,-21.5,18.5,28.4,4.56,-0.1,14.367,13.932,13.814,13.764000000000001,13.819,12.89,9.162,0.435,0.11800000000000001,0.5529999999999999
2033,0,1,8.10501635,,0.14400000000000002,0,1,0,287.635473,45.716060999999996,1382.0,15.353,15.325999999999999,5866.0,1.04,1.06,1,0,0,0.0,0,0,,1.61,0.015,0.18512,2454968.88523,0.01408,0,24,10,19.1756982,76.57711,15.94395,303.000005,67.14579,0.47,2140.93,-3.1,-6.2,7.0,-3.1,-6.2,7.0,4.4,0.03,14.220999999999998,13.942,13.834000000000001,13.837,13.892999999999999,12.357000000000001,9.515,0.27899999999999997,0.10800000000000001,0.387
2034,0,1,8.82713457,,0.175,0,1,0,288.397002,40.2132,1060.0,15.247,15.298,5608.0,0.97,0.95,1,0,0,0.0,0,0,,1.96,0.018000000000000002,0.08692000000000001,2454972.7355,0.01865,0,28,11,19.22646681,71.598163,13.227418,300.570033,61.71413100000001,1.03,970.46,-6.7,8.4,10.7,-2.0,0.6,2.0,4.47,0.08,13.998,13.695,13.555,13.511,13.536,12.764000000000001,9.267999999999999,0.303,0.14,0.44299999999999995
2035,0,1,3.74032496,,0.136,0,1,0,293.881413,46.838879,1532.0,15.331,15.299000000000001,6099.0,1.11,1.17,1,0,0,0.0,0,0,,1.53,0.013999999999999999,0.10163,2454967.7027,0.012,0,24,10,19.5920942,79.48344399999999,12.487003,314.306489,66.64210899999999,0.7,1436.56,-3.2,-7.9,8.5,-3.2,-7.9,8.5,4.34,0.02,14.194,13.911,13.8,13.839,13.885,12.754000000000001,9.827,0.28300000000000003,0.111,0.39399999999999996
2036,0,1,3.50470358,,0.061,0,1,0,286.819367,46.911694,343.0,13.632,13.6,5101.0,0.83,0.79,1,0,0,0.0,0,0,,0.68,0.006,0.0837,2454966.72494,0.008440000000000001,0,24,10,19.12129113,77.507442,16.919141,302.56936,68.457576,3.04,328.83,9.1,14.2,16.8,9.1,14.2,16.8,4.57,0.0,12.204,11.738,11.657,11.582,11.639000000000001,11.682,9.401,0.466,0.081,0.547
2037,0,1,0.97191543,,0.064,0,1,0,292.28657999999996,42.072456,580.0,14.5,14.488,5316.0,0.86,0.82,1,0,0,0.0,0,0,,0.72,0.006999999999999999,0.06788,2454965.16475,0.00784,0,24,10,19.485772,74.60406,11.381171,307.745568,62.621653,1.6,625.76,9.1,36.1,37.2,9.1,36.1,37.2,4.55,-0.04,13.155,12.731,12.634,12.577,12.597000000000001,10.855,9.068999999999999,0.424,0.09699999999999999,0.521
2038,0,2,4.973456,0.054000000000000006,0.205,0,1,0,290.296515,37.74949,439.0,14.172,14.155999999999999,5094.0,,0.81,1,0,0,0.0,0,0,0.12300000000000001,2.3,0.021,0.0658,2455003.88529,,0,40,13,19.35310102,69.964876,10.840397,302.120654,58.946251000000004,2.23,449.22,-12.0,-14.0,18.4,-14.8,-15.7,21.6,4.55,,12.735,12.255,12.155,12.119000000000002,12.213,12.094000000000001,9.057,0.48,0.1,0.58
