,features,score
117,"gaia_plx,pl_impparerr1,pl_locale",0.5
118,"pl_rvamplim,st_herr,st_hmk2,st_wise2lim",0.5
119,"pl_orbpererr2,pl_radserr1,st_denserr2,st_raderr2",0.5
120,"pl_eqtlim,pl_orbsmaxlim,pl_rade,pl_radjerr1,pl_trandurerr1,pl_trandurerr2,st_masserr2,st_metfeerr1",0.5
121,"pl_bmasseerr2,pl_orbsmax,st_jmh2,st_tefferr1",0.5
122,"pl_astflag,pl_bmasseerr2,st_glat,st_nplc",0.5
123,"pl_discmethod,st_plx,st_radvlim",0.5
124,"pl_orbincllim,st_vjlim,st_wise4lim",0.5
125,"pl_trandeplim,st_dens,st_kerr,st_tefferr2",0.5
126,"gaia_pmdec,pl_orbper,pl_st_npar,st_pmlim",0.5
127,"pl_cbflag,pl_telescope,st_dens,st_j",0.5
128,"pl_orbeccenerr2,pl_orbpererr1,pl_orbsmax,st_metfeerr1",0.5
129,"gaia_gmag,gaia_plxerr2,gaia_pmdecerr,st_plxerr2",0.5
130,"gaia_pmerr,st_nglc,st_wise2",0.5
131,"gaia_gmag,pl_bmasseerr2,st_hmk2,st_jmk2lim,st_logg,st_pmraerr,st_wise4",0.5
132,"pl_nnotes,pl_tranmidlim,st_metfeerr2,st_rad",0.5
133,"pl_tranflag,st_age,st_herr,st_jlim",0.5
134,"gaia_pmdec,pl_angsep,st_mass",0.5
135,"pl_orbincllim,pl_orbsmaxerr2,st_hmk2,st_optmagerr",0.5
136,"gaia_distlim,pl_impparlim,pl_rade,pl_radelim,st_jmh2",0.5
137,"pl_impparerr2,pl_masselim,pl_radj,st_distlim,st_loggerr2,st_masserr1,st_nglc,st_nimg,st_wise4",0.5
138,"pl_orbinclerr1,pl_status,pl_tranflag,pl_ttvflag,st_colorn,st_jmh2,st_kerr,st_wise3",0.5
139,"gaia_disterr2,pl_bmasse,pl_cbflag,pl_denslim,pl_orbper,st_klim,st_nrvc,st_wise3lim",0.5
140,"gaia_pmralim,st_jmk2,st_k,st_plx",0.5
141,"pl_disc,pl_orbinclerr1,st_klim,st_metratio",0.5
142,"pl_angseperr2,pl_orblperlim,st_pmdecerr",0.5
143,"pl_bmasselim,pl_rvamperr2,st_radv,st_wise2err",0.5
144,"gaia_gmag,gaia_pmdeclim,pl_angseperr1,pl_radeerr2,pl_telescope,pl_trandurerr2,st_dens,st_klim,st_metfeerr1,st_wise3lim",0.5
145,"pl_impparerr2,st_jmk2lim,st_optmaglim",0.5
146,"pl_radserr1,st_lumerr2,st_pmdeclim",0.5
147,"pl_ratrorerr1,st_colorn,st_wise1err",0.5
148,"pl_bmasse,pl_rvflag,st_elon,st_metfe",0.5
149,"gaia_distlim,pl_orbinclerr2,pl_status,pl_ttvflag,st_disterr1,st_nspec,st_nts",0.5
150,"pl_eqt,pl_insollim,st_masserr1,st_teff",0.5
151,"gaia_plx,gaia_pmerr,st_wise1err",0.5
152,"gaia_disterr1,gaia_gmaglim,pl_orbeccenerr1,st_glat,st_nimg,st_optmaglim",0.5
153,"st_j,st_raderr1,st_raderr2",0.5
154,"pl_orbtperlim,st_hmk2,st_hmk2err,st_lumlim,st_pmdec",0.5
155,"gaia_pm,st_denserr2,st_loggerr1,st_nglc,st_rad",0.5
156,"gaia_pmlim,pl_nnotes,st_lumerr2",0.5
157,"st_jmk2,st_kerr,st_radverr2,st_wise2",0.5
158,"pl_eqt,pl_ratror,st_masslim,st_metfelim",0.5
