index,score
269,0.75
270,0.5833333333333334
271,0.8
272,0.6
273,
274,0.5121951219512195
275,
276,
277,0.5769230769230769
278,0.525
279,0.5666666666666667
280,
281,0.515625
282,
283,0.5
284,
285,0.5833333333333333
286,0.7777777777777777
287,
288,0.5476190476190477
289,
290,0.717948717948718
291,0.525
292,0.5138888888888888
293,0.5
294,0.5795454545454546
295,0.5
296,0.5
297,0.7307692307692308
298,0.5888888888888888
299,
300,0.5588235294117647
301,0.5714285714285714
302,0.5588235294117647
303,0.5945945945945945
304,0.5657894736842105
305,0.5714285714285714
306,
307,0.6016949152542372
308,0.6219512195121951
309,
310,0.5277777777777778
311,0.625
312,
313,
314,
315,0.575
316,0.5
317,0.7307692307692307
318,0.6666666666666667
319,0.5
320,0.5980392156862745
321,0.5
322,0.5416666666666666
323,0.5166666666666667
324,0.5147058823529412
325,0.577922077922078
326,
327,
328,0.525
329,0.5
330,0.5
331,
332,0.5
333,0.5576923076923077
334,0.5
335,0.5
336,
337,0.5
338,0.5192307692307693
339,
340,
341,0.5178571428571429
342,
343,0.5847457627118644
344,0.5384615384615384
345,0.5877192982456141
346,0.5
347,0.5
348,
349,0.5
350,0.5
351,0.5
352,0.5
353,0.5
354,
355,0.6710526315789473
356,0.5333333333333333
357,0.6578947368421053
358,
359,0.5581395348837209
360,0.5
361,
362,
363,0.515625
364,0.5
365,0.5641025641025641
366,0.5925925925925926
367,0.5
368,0.5094339622641509
369,0.5476190476190477
370,
371,0.5568181818181819
372,
373,
374,0.5857142857142857
375,0.5
376,0.5
377,0.5
378,0.7023809523809523
379,0.631578947368421
380,
381,0.6162790697674418
382,0.5
383,0.5087719298245614
384,0.5
385,
386,0.6282051282051282
387,0.5
388,0.5434782608695652
389,0.6052631578947368
390,0.5
391,0.5
392,0.5
393,0.5
394,0.7027027027027027
395,
396,
397,
398,0.5096153846153846
399,0.6590909090909092
400,0.6212121212121212
401,
402,0.5
403,0.6585365853658536
404,0.5
405,
406,0.5
407,0.5
408,
409,0.6935483870967742
410,
411,0.5754716981132075
412,0.5
413,0.5606060606060607
414,0.625
415,0.6351351351351352
416,
417,0.7564102564102564
418,0.6057692307692307
419,0.6
420,
421,
422,0.5
423,0.5
424,0.5116279069767442
425,0.5609756097560976
426,0.6216216216216216
427,
428,0.5652173913043479
429,0.5909090909090909
430,
431,0.5365853658536586
432,
433,0.5833333333333333
434,0.671875
435,
436,0.5
437,
438,0.5540540540540541
439,0.5
440,0.6568627450980392
441,0.5
442,0.5
443,0.7222222222222223
444,0.5545454545454546
445,0.6
446,0.5909090909090909
447,0.5263157894736842
448,0.5
449,
450,0.5
451,0.6481481481481481
452,
453,
454,0.6346153846153846
455,0.5588235294117647
456,0.5625
457,0.653061224489796
458,0.5
459,0.631578947368421
460,0.5
461,0.5
462,0.5384615384615385
463,0.5344827586206896
464,0.7051282051282051
465,0.5
466,
