feature,description
st_pmdec,Proper Motion (Dec) [mas/yr]
st_pmdecerr,Proper Motion (Dec) Unc. [mas/yr]
st_pmdeclim,Proper Motion (Dec) Limit Flag
st_pm,Total Proper Motion [mas/yr]
st_pmerr,Total Proper Motion Unc. [mas/yr]
st_pmlim,Total Proper Motion Limit Flag
gaia_pmra,Gaia Proper Motion (RA) [mas/yr]
gaia_pmraerr,Gaia Proper Motion (RA) Unc. [mas/yr]
gaia_pmralim,Gaia Proper Motion (RA) Limit Flag
gaia_pmdec,Gaia Proper Motion (Dec) [mas/yr]
gaia_pmdecerr,Gaia Proper Motion (Dec) Unc. [mas/yr]
gaia_pmdeclim,Gaia Proper Motion (Dec) Limit Flag
gaia_pm,Gaia Total Proper Motion [mas/yr]
gaia_pmerr,Gaia Total Proper Motion Unc. [mas/yr]
gaia_pmlim,Gaia Total Proper Motion Limit Flag
st_radv,Radial Velocity [km/s]
st_radverr1,Radial Velocity Upper Unc. [km/s]
st_radverr2,Radial Velocity Lower Unc. [km/s]
st_radvlim,Radial Velocity Limit Flag
st_sp,Spectral Type
st_spstr,Spectral Type
st_sperr,Spectral Type Unc.
st_splim,Spectral Type Limit Flag
st_logg,Stellar Surface Gravity [log10(cm/s**2)]
st_loggerr1,Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
st_loggerr2,Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
st_logglim,Stellar Surface Gravity Limit Flag
st_lum,Stellar Luminosity [log(Solar)]
st_lumerr1,Stellar Luminosity Upper Unc. [log(Solar)]
st_lumerr2,Stellar Luminosity Lower Unc. [log(Solar)]
st_lumlim,Stellar Luminosity Limit Flag
st_dens,Stellar Density [g/cm**3]
st_denserr1,Stellar Density Upper Unc. [g/cm**3]
st_denserr2,Stellar Density Lower Unc. [g/cm**3]
st_denslim,Stellar Density Limit Flag
st_metfe,Stellar Metallicity [dex]
st_metfeerr1,Stellar Metallicity Upper Unc. [dex]
st_metfeerr2,Stellar Metallicity Lower Unc. [dex]
st_metfelim,Stellar Metallicity Limit Flag
st_metratio,Metallicity Ratio
st_age,Stellar Age [Gyr]
st_ageerr1,Stellar Age Upper Unc. [Gyr]
st_ageerr2,Stellar Age Lower Unc. [Gyr]
st_agelim,Stellar Age Limit Flag
st_vsini,Rot. Velocity V*sin(i) [km/s]
st_vsinierr1,Rot. Velocity V*sin(i) Upper Unc. [km/s]
st_vsinierr2,Rot. Velocity V*sin(i) Lower Unc. [km/s]
st_vsinilim,Rot. Velocity V*sin(i) Limit Flag
st_acts,Stellar Activity S-index
st_actserr,Stellar Activity S-index Unc.
st_actslim,Stellar Activity S-index Limit Flag
st_actr,Stellar Activity log(R'HK)
st_actrerr,Stellar Activity log(R'HK) Unc.
st_actrlim,Stellar Activity log(R'HK) Limit Flag
st_actlx,X-ray Activity log(L<sub>x</sub>)
st_actlxerr,X-ray Activity log(L<sub>x</sub>) Unc.
st_actlxlim,X-ray Activity log(L<sub>x</sub>) Limit Flag
swasp_id,SWASP Identifier
st_nts,Number of Time Series
st_nplc,Number of Planet Transit Light Curves
st_nglc,Number of General Light Curves
st_nrvc,Number of Radial Velocity Time Series
st_naxa,Number of Amateur Light Curves
st_nimg,Number of Images
st_nspec,Number of Spectra
st_uj,U-band (Johnson) [mag]
st_ujerr,U-band (Johnson) Unc. [mag]
st_ujlim,U-band (Johnson) Limit Flag
st_vj,V-band (Johnson) [mag]
st_vjerr,V-band (Johnson) Unc. [mag]
st_vjlim,V-band (Johnson) Limit Flag
st_bj,B-band (Johnson) [mag]
st_bjerr,B-band (Johnson) Unc. [mag]
st_bjlim,B-band (Johnson) Limit Flag
st_rc,R-band (Cousins) [mag]
st_rcerr,R-band (Cousins) Unc. [mag]
st_rclim,R-band (Cousins) Limit Flag
st_ic,I-band (Cousins) [mag]
st_icerr,I-band (Cousins) Unc. [mag]
st_iclim,I-band (Cousins) Limit Flag
st_j,J-band (2MASS) [mag]
st_jerr,J-band (2MASS) Unc. [mag]
st_jlim,J-band (2MASS) Limit Flag
st_h,H-band (2MASS) [mag]
st_herr,H-band (2MASS) Unc. [mag]
st_hlim,H-band (2MASS) Limit Flag
st_k,Ks-band (2MASS) [mag]
st_kerr,Ks-band (2MASS) Unc. [mag]
st_klim,Ks-band (2MASS) Limit Flag
st_wise1,WISE 3.4um [mag]
st_wise1err,WISE 3.4um Unc. [mag]
st_wise1lim,WISE 3.4um Limit Flag
st_wise2,WISE 4.6um [mag]
st_wise2err,WISE 4.6um Unc. [mag]
st_wise2lim,WISE 4.6um Limit Flag
st_wise3,WISE 12.um [mag]
st_wise3err,WISE 12.um Unc. [mag]
st_wise3lim,WISE 12.um Limit Flag
st_wise4,WISE 22.um [mag]
st_wise4err,WISE 22.um Unc. [mag]
st_wise4lim,WISE 22.um Limit Flag
st_irac1,IRAC 3.6um [mag]
st_irac1err,IRAC 3.6um Unc. [mag]
st_irac1lim,IRAC 3.6um Limit Flag
st_irac2,IRAC 4.5um [mag]
st_irac2err,IRAC 4.5um Unc. [mag]
st_irac2lim,IRAC 4.5um Limit Flag
st_irac3,IRAC 5.8um [mag]
st_irac3err,IRAC 5.8um Unc. [mag]
st_irac3lim,IRAC 5.8um Limit Flag
st_irac4,IRAC 8.0um [mag]
st_irac4err,IRAC 8.0um Unc. [mag]
st_irac4lim,IRAC 8.0um Limit Flag
st_mips1,MIPS 24um [mag]
st_mips1err,MIPS 24um Unc. [mag]
st_mips1lim,MIPS 24um Limit Flag
st_mips2,MIPS 70um [mag]
st_mips2err,MIPS 70um Unc. [mag]
st_mips2lim,MIPS 70um Limit Flag
st_mips3,MIPS 160um [mag]
st_mips3err,MIPS 160um Unc. [mag]
st_mips3lim,MIPS 160um Limit Flag
st_iras1,IRAS 12um Flux [Jy]
st_iras1err,IRAS 12um Flux Unc. [Jy]
st_iras1lim,IRAS 12um Flux Limit Flag
st_iras2,IRAS 25um Flux [Jy]
st_iras2err,IRAS 25um Flux Unc. [Jy]
st_iras2lim,IRAS 25um Flux Limit Flag
st_iras3,IRAS 60um Flux [Jy]
st_iras3err,IRAS 60um Flux Unc. [Jy]
st_iras3lim,IRAS 60um Flux Limit Flag
st_iras4,IRAS 100um Flux [Jy]
st_iras4err,IRAS 100um Flux Unc. [Jy]
st_iras4lim,IRAS 100um Flux Limit Flag
st_photn,Number of Photometry Measurements
st_umbj,U-B (Johnson) [mag]
st_umbjerr,U-B (Johnson) Unc. [mag]
st_umbjlim,U-B (Johnson) Limit Flag
st_bmvj,B-V (Johnson) [mag]
st_bmvjerr,B-V (Johnson) Unc. [mag]
st_bmvjlim,B-V (Johnson) Limit Flag
st_vjmic,V-I (Johnson-Cousins) [mag]
st_vjmicerr,V-I (Johnson-Cousins) Unc. [mag]
st_vjmiclim,V-I (Johnson-Cousins) Limit Flag
st_vjmrc,V-R (Johnson-Cousins) [mag]
st_vjmrcerr,V-R (Johnson-Cousins) Unc. [mag]
st_vjmrclim,V-R (Johnson-Cousins) Limit Flag
st_jmh2,J-H (2MASS) [mag]
st_jmh2err,J-H (2MASS) Unc. [mag]
st_jmh2lim,J-H (2MASS) Limit Flag
st_hmk2,H-Ks (2MASS) [mag]
st_hmk2err,H-Ks (2MASS) Unc. [mag]
st_hmk2lim,H-Ks (2MASS) Limit Flag
st_jmk2,J-Ks (2MASS) [mag]
st_jmk2err,J-Ks (2MASS) Unc. [mag]
st_jmk2lim,J-Ks (2MASS) Limit Flag
st_bmy,b-y (Stromgren) [mag]
st_bmyerr,b-y (Stromgren) Unc. [mag]
st_bmylim,b-y (Stromgren) Limit Flag
st_m1,m1 (Stromgren) [mag]
st_m1err,m1 (Stromgren) Unc. [mag]
st_m1lim,m1 (Stromgren) Limit Flag
st_c1,c1 (Stromgren) [mag]
st_c1err,c1 (Stromgren) Unc. [mag]
st_c1lim,c1 (Stromgren) Limit Flag
st_colorn,Number of Color Measurements
